"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C23","0402C","-1637mil","-484mil","-1637mil","-484mil","-1617.315mil","-484mil","T","270.00","100nF"
"C24","0402C","-1220mil","12mil","-1220mil","12mil","-1220mil","31.685mil","T","0.00","10nF"
"C25","0402C","-1637mil","-452mil","-1637mil","-452mil","-1656.685mil","-452mil","T","90.00","1nF"
"C26A","0402C","1107mil","-950.795mil","1107mil","-950.795mil","1107mil","-970.48mil","T","180.00","100nF"
"C26B","0402C","553mil","-950.795mil","553mil","-950.795mil","553mil","-970.48mil","T","180.00","100nF"
"C41","0402C","-876mil","-86mil","-876mil","-86mil","-876mil","-105.685mil","T","180.00","100nF"
"C42","0402C","-675mil","-462mil","-675mil","-462mil","-675mil","-481.685mil","T","180.00","100nF"
"C43","0402C","-615mil","-169mil","-615mil","-169mil","-615mil","-149.315mil","T","360.00","100nF"
"C49","0402C","-1360mil","777mil","-1360mil","777mil","-1379.685mil","777mil","T","90.00","100nF"
"C47","0402C","-1536mil","710mil","-1536mil","710mil","-1536mil","729.685mil","T","360.00","100nF"
"D1","SOT23-6","-718mil","365mil","-718mil","365mil","-755.402mil","322.677mil","T","90.00","SDM10M45SD"
"D8A","SOT23-3","741mil","-741.795mil","741mil","-741.795mil","703.598mil","-785.102mil","T","90.00","BAT750"
"D8B","SOT23-3","187mil","-741.795mil","187mil","-741.795mil","149.598mil","-785.102mil","T","90.00","BAT750"
"D7","KINGBRIGHT_4HIGH_LED","-1742.126mil","685.111mil","-1742.126mil","759.521mil","-1692.126mil","535.111mil","T","180.00","4GRN"
"D3","SOT23-6","-436mil","365mil","-436mil","365mil","-473.402mil","322.677mil","T","90.00","SDM10M45SD"
"D4","SOT23-6","-294mil","365mil","-294mil","365mil","-331.402mil","322.677mil","T","90.00","SDM10M45SD"
"D5","SOT23-6","-150mil","366mil","-150mil","366mil","-187.402mil","323.677mil","T","90.00","SDM10M45SD"
"D10","SOT23-6","-602mil","30mil","-602mil","30mil","-644.323mil","67.402mil","T","360.00","SDM10M45SD"
"D9","SOT23-6","137mil","364mil","137mil","364mil","174.402mil","406.323mil","T","270.00","SDM10M45SD"
"D11","SOT23-3","-789mil","-113mil","-789mil","-113mil","-751.598mil","-69.693mil","T","270.00","BAT750"
"IC2A","SOIC-8","-1606mil","260mil","-1606mil","260mil","-1708.362mil","335mil","T","360.00","MCP2551"
"IC2B","SOIC-8","-1234mil","261mil","-1234mil","261mil","-1336.362mil","336mil","T","360.00","MCP2551"
"IC5","TQFP-64","-1452.728mil","-214.338mil","-1452.728mil","-214.338mil","-1502.838mil","44.563mil","T","315.00","PIC32MX795F512H"
"IC10","TSSOP-8","-602mil","-347mil","-602mil","-347mil","-563.614mil","-237.748mil","T","270.00","TPS2111A"
"IC11","SOT23-6","-301mil","-311mil","-301mil","-311mil","-338.402mil","-353.323mil","T","90.00","MCP16301"
"IC12","SOT89-3","-799.016mil","-390mil","-785mil","-390mil","-852.165mil","-330.945mil","T","360.00","MCP1700T"
"J1","USB-MINI-B_MOLEX","-1102.362mil","921.26mil","-1102.362mil","954.724mil","-1039.37mil","832.677mil","T","180.00","0513870530"
"J3","MINI-FIT_RA_14POS","1122.047mil","561.221mil","1122.047mil","525.984mil","625.984mil","525.984mil","T","180.00","15-24-6140"
"L2","1206_PTC","833mil","162mil","833mil","162mil","833mil","109.638mil","T","180.00","200mA"
"R18A","0402","-1606mil","136mil","-1606mil","136mil","-1586.315mil","136mil","T","270.00","120"
"R18B","0402","-1233mil","386mil","-1233mil","386mil","-1213.315mil","386mil","T","270.00","120"
"R19A","0402","-1505mil","374mil","-1505mil","374mil","-1524.685mil","374mil","T","90.00","10k"
"R19B","0402","-1131mil","372mil","-1131mil","372mil","-1150.685mil","372mil","T","90.00","10k"
"R31","0402","-1741mil","-356mil","-1741mil","-356mil","-1741mil","-336.315mil","T","0.00","10"
"R35","0402","-1388mil","-585mil","-1388mil","-585mil","-1388mil","-565.315mil","T","360.00","10k"
"R5","0402","-935mil","303mil","-935mil","303mil","-935mil","283.315mil","T","180.00","100k"
"R37","0402","-1350mil","-584mil","-1350mil","-584mil","-1350mil","-603.685mil","T","180.00","49R9"
"R7","0402","-872mil","303mil","-872mil","303mil","-872mil","283.315mil","T","180.00","100k"
"R45","0402","-1599mil","53mil","-1599mil","53mil","-1599mil","33.315mil","T","180.00","100k"
